Overriding config with config/train_shakespeare_char_mac.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 80
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 2000
lr_decay_iters = 2000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'mps'  # run on cpu only
compile = False # do not torch compile the model

Overriding: n_head = 4
Overriding: n_layer = 6
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
iter 84: loss 2.4673, time 446.18ms, mfu 0.84%
iter 85: loss 2.4648, time 444.44ms, mfu 0.84%
iter 86: loss 2.4558, time 443.03ms, mfu 0.84%
iter 87: loss 2.4721, time 443.33ms, mfu 0.84%
iter 88: loss 2.4924, time 448.01ms, mfu 0.84%
iter 89: loss 2.4945, time 442.04ms, mfu 0.84%
iter 90: loss 2.4777, time 446.96ms, mfu 0.84%
iter 91: loss 2.4763, time 442.88ms, mfu 0.84%
iter 92: loss 2.4692, time 450.78ms, mfu 0.84%
iter 93: loss 2.4665, time 444.56ms, mfu 0.84%
iter 94: loss 2.4854, time 443.97ms, mfu 0.84%
iter 95: loss 2.4420, time 442.48ms, mfu 0.84%
iter 96: loss 2.4804, time 442.51ms, mfu 0.84%
iter 97: loss 2.4545, time 444.57ms, mfu 0.84%
iter 98: loss 2.4808, time 442.36ms, mfu 0.84%
iter 99: loss 2.4509, time 442.97ms, mfu 0.84%
iter 100: loss 2.4765, time 445.64ms, mfu 0.84%
iter 101: loss 2.4515, time 442.27ms, mfu 0.84%
iter 102: loss 2.4621, time 446.90ms, mfu 0.84%
iter 103: loss 2.4675, time 444.28ms, mfu 0.84%
iter 104: loss 2.4677, time 448.46ms, mfu 0.84%
iter 105: loss 2.4607, time 448.12ms, mfu 0.84%
iter 106: loss 2.4654, time 448.00ms, mfu 0.84%
iter 107: loss 2.4490, time 444.33ms, mfu 0.84%
iter 108: loss 2.4548, time 446.04ms, mfu 0.84%
iter 109: loss 2.4416, time 445.04ms, mfu 0.84%
iter 110: loss 2.4306, time 443.84ms, mfu 0.84%
iter 111: loss 2.4514, time 445.25ms, mfu 0.84%
iter 112: loss 2.4404, time 447.30ms, mfu 0.84%
iter 113: loss 2.4350, time 455.16ms, mfu 0.83%
iter 114: loss 2.4428, time 445.81ms, mfu 0.83%
iter 115: loss 2.4468, time 445.50ms, mfu 0.84%
iter 116: loss 2.4592, time 445.66ms, mfu 0.84%
iter 117: loss 2.4362, time 448.81ms, mfu 0.83%
iter 118: loss 2.4663, time 446.57ms, mfu 0.83%
iter 119: loss 2.4584, time 444.75ms, mfu 0.83%
iter 120: loss 2.4381, time 444.10ms, mfu 0.84%
iter 121: loss 2.4351, time 443.27ms, mfu 0.84%
iter 122: loss 2.4134, time 443.17ms, mfu 0.84%
iter 123: loss 2.4394, time 443.42ms, mfu 0.84%
iter 124: loss 2.4557, time 442.79ms, mfu 0.84%
iter 125: loss 2.4332, time 442.25ms, mfu 0.84%
iter 126: loss 2.4343, time 442.35ms, mfu 0.84%
iter 127: loss 2.4423, time 443.93ms, mfu 0.84%
iter 128: loss 2.4403, time 443.52ms, mfu 0.84%
iter 129: loss 2.4238, time 442.72ms, mfu 0.84%
iter 130: loss 2.4425, time 442.00ms, mfu 0.84%
iter 131: loss 2.4173, time 442.86ms, mfu 0.84%
iter 132: loss 2.4276, time 441.95ms, mfu 0.84%
iter 133: loss 2.4163, time 442.60ms, mfu 0.84%
iter 134: loss 2.4321, time 442.60ms, mfu 0.84%
iter 135: loss 2.4226, time 463.15ms, mfu 0.84%
iter 136: loss 2.4403, time 442.00ms, mfu 0.84%
iter 137: loss 2.3987, time 441.89ms, mfu 0.84%
iter 138: loss 2.4142, time 443.64ms, mfu 0.84%
iter 139: loss 2.4273, time 448.75ms, mfu 0.84%
iter 140: loss 2.3976, time 446.97ms, mfu 0.84%
iter 141: loss 2.4237, time 441.92ms, mfu 0.84%
iter 142: loss 2.4014, time 443.14ms, mfu 0.84%
iter 143: loss 2.4097, time 443.02ms, mfu 0.84%
iter 144: loss 2.3947, time 442.80ms, mfu 0.84%
iter 145: loss 2.3873, time 442.93ms, mfu 0.84%
iter 146: loss 2.3920, time 442.86ms, mfu 0.84%
iter 147: loss 2.3875, time 443.78ms, mfu 0.84%
iter 148: loss 2.3971, time 442.25ms, mfu 0.84%
iter 149: loss 2.4169, time 442.76ms, mfu 0.84%
iter 150: loss 2.3691, time 442.28ms, mfu 0.84%
iter 151: loss 2.3965, time 442.78ms, mfu 0.84%
iter 152: loss 2.3712, time 442.83ms, mfu 0.84%
iter 153: loss 2.3864, time 442.65ms, mfu 0.84%
iter 154: loss 2.3744, time 443.12ms, mfu 0.84%
iter 155: loss 2.3774, time 442.32ms, mfu 0.84%
iter 156: loss 2.3556, time 446.20ms, mfu 0.84%
iter 157: loss 2.3552, time 448.00ms, mfu 0.84%
iter 158: loss 2.3688, time 443.54ms, mfu 0.84%
iter 159: loss 2.3639, time 444.21ms, mfu 0.84%
iter 160: loss 2.3791, time 443.64ms, mfu 0.84%
iter 161: loss 2.3470, time 442.32ms, mfu 0.84%
iter 162: loss 2.3480, time 442.51ms, mfu 0.84%
iter 163: loss 2.3305, time 442.08ms, mfu 0.84%
iter 164: loss 2.3516, time 441.77ms, mfu 0.84%
iter 165: loss 2.3344, time 442.89ms, mfu 0.84%
iter 166: loss 2.3685, time 442.08ms, mfu 0.84%
iter 167: loss 2.3516, time 441.86ms, mfu 0.84%
iter 168: loss 2.3723, time 442.18ms, mfu 0.84%
iter 169: loss 2.3695, time 443.55ms, mfu 0.84%
iter 170: loss 2.3612, time 442.18ms, mfu 0.84%
iter 171: loss 2.3322, time 442.93ms, mfu 0.84%
iter 172: loss 2.3264, time 442.37ms, mfu 0.84%
